"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-08 17:32:28",1762623148852,"mpz-beta.vercel.app/api/videos","GET","",-1,"cbh5p-1762623148069-80d0e904ffd5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_BD6ufXeW7k33jme7P15hhgUjjTfy",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/index.ts' imported from /var/task/api/index.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:865:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:989:14)
    at defaultResolve (node:internal/modules/esm/resolve:1032:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:783:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:707:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:690:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:307:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:183:49)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/index.ts'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J8DMNCRG0ESS2BS9PM9XA5","",-1
"2025-11-08 17:32:28",1762623148716,"mpz-beta.vercel.app/api/videos","GET","",500,"cbh5p-1762623148069-80d0e904ffd5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_BD6ufXeW7k33jme7P15hhgUjjTfy",120,"iad1",78,2048,"","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J8DMNCRG0ESS2BS9PM9XA5","",1
"2025-11-08 17:30:00",1762623000110,"mpz-nzpte2stm-alcatecs-projects.vercel.app/api/videos","GET","",-1,"bmkr4-1762622999700-8895b505e910","vercel-screenshot/1.0","error","production","main","","lambda","/api/index","mpz-nzpte2stm-alcatecs-projects.vercel.app","mpz-nzpte2stm-alcatecs-projects.vercel.app","dpl_BD6ufXeW7k33jme7P15hhgUjjTfy",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/index.ts' imported from /var/task/api/index.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:865:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:989:14)
    at defaultResolve (node:internal/modules/esm/resolve:1032:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:783:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:707:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:690:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:307:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:183:49)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/index.ts'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J89391BBTXGC49X8VDF8SZ","",-1
"2025-11-08 17:29:59",1762622999985,"mpz-nzpte2stm-alcatecs-projects.vercel.app/api/videos","GET","",-1,"f745d-1762622999694-52cf1f55d562","vercel-screenshot/1.0","error","production","main","","lambda","/api/index","mpz-nzpte2stm-alcatecs-projects.vercel.app","mpz-nzpte2stm-alcatecs-projects.vercel.app","dpl_BD6ufXeW7k33jme7P15hhgUjjTfy",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/index.ts' imported from /var/task/api/index.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:865:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:989:14)
    at defaultResolve (node:internal/modules/esm/resolve:1032:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:783:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:707:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:690:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:307:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:183:49)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/index.ts'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J893928B7CM7ZDSVXJ7G81","",-1
"2025-11-08 17:29:59",1762622999842,"mpz-nzpte2stm-alcatecs-projects.vercel.app/api/videos","GET","",500,"f745d-1762622999694-52cf1f55d562","vercel-screenshot/1.0","error","production","main","","lambda","/api/index","mpz-nzpte2stm-alcatecs-projects.vercel.app","mpz-nzpte2stm-alcatecs-projects.vercel.app","dpl_BD6ufXeW7k33jme7P15hhgUjjTfy",123,"iad1",78,2048,"","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J893928B7CM7ZDSVXJ7G81","",1
"2025-11-08 17:29:59",1762622999841,"mpz-nzpte2stm-alcatecs-projects.vercel.app/api/videos","GET","",500,"bmkr4-1762622999700-8895b505e910","vercel-screenshot/1.0","error","production","main","","lambda","/api/index","mpz-nzpte2stm-alcatecs-projects.vercel.app","mpz-nzpte2stm-alcatecs-projects.vercel.app","dpl_BD6ufXeW7k33jme7P15hhgUjjTfy",120,"iad1",78,2048,"","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J89391BBTXGC49X8VDF8SZ","",1
